country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,avg.Gini
Armenia,29.7,31.2,29.2,28,30,29.4,29.6,30.6,31.5,32.4,32.5,30.37272727
Australia,,,35.4,,34.7,,,,35.8,,,35.3
Austria,29.6,30.6,30.4,31.5,30.3,30.8,30.5,30.8,30.5,30.5,,30.55
Belgium,28.1,29.2,28.4,28.5,28.4,28.1,27.5,27.7,28.1,27.7,,28.17
Switzerland,33.9,34.3,33.8,32.9,32.6,31.7,31.6,32.5,32.5,32.3,,32.81
Cyprus,31.1,31.1,31.7,32.1,31.5,32.6,34.3,37,35.6,34,,33.1
Czech Republic,26.7,26,26.3,26.2,26.6,26.4,26.1,26.5,25.9,25.9,,26.26
Germany,31.3,31.3,31.2,30.5,30.2,30.5,,31.1,,31.7,,30.975
Denmark,25.9,26.2,25.2,26.7,27.2,27.3,27.8,28.5,28.4,28.2,,27.14
Spain,33.5,34.1,34.2,34.9,35.2,35.7,35.4,36.2,36.1,36.2,,35.15
Estonia,33.7,31.2,31.9,31.4,32,32.5,32.9,35.1,34.6,32.7,,32.8
Finland,28,28.3,27.8,27.5,27.7,27.6,27.1,27.2,26.8,27.1,,27.51
United Kingdom,34.6,35.7,34.1,34.3,34.4,33.2,32.3,33.2,34,33.2,,33.9
Greece,35.1,34,33.6,33.6,34.1,34.8,36.2,36.1,35.8,36,,34.93
Croatia,,,,32.6,32.4,32.3,32.5,32,32.1,31.1,,32.14285714
Iceland,30.2,29.5,31.8,28.7,26.2,26.8,26.8,25.4,27.8,,,28.13333333
Italy,33.7,32.9,33.8,33.8,34.7,35.1,35.2,34.9,34.7,35.4,,34.42
Japan,,,32.1,,,,,,,,,32.1
Kazakhstan,30.2,30.1,28.5,28.2,28,28,28.2,27.1,27,26.8,27.2,28.11818182
Kyrgyz Republic,37.4,33.9,31.5,29.9,30.1,27.8,27.4,28.8,26.8,29,26.8,29.94545455
Lithuania,34.4,34.8,35.7,37.2,33.6,32.5,35.1,35.3,37.7,37.4,,35.37
Latvia,35.6,37.5,37.2,35.9,35,35.8,35.2,35.5,35.1,34.2,,35.7
Mexico,47.7,,44.6,,45.3,,45.4,,45.8,,43.4,45.36666667
Malta,28,29.2,29,30.2,29,29.1,29.4,28.8,29,29.4,,29.11
Mauritius,35.7,,,,,,35.8,,,,,35.75
Netherlands,30,29.6,29.3,27.9,27.8,27.7,27.6,28.1,28.6,28.2,,28.48
Norway,26.4,27.1,27,26.2,25.7,25.3,25.7,26.4,26.8,27.5,,26.41
Panama,54.6,52.7,52.7,51.8,51.6,51.3,51.7,51.5,50.5,50.8,50.4,51.78181818
Poland,33.7,33.5,33.7,33.6,33.2,32.8,32.4,32.5,32.1,31.8,30.8,32.73636364
Romania,39.6,37.5,36.4,35.6,35.5,35.9,36.5,36.9,36,35.9,,36.58
Singapore,,,,,,,,,,,,#DIV/0!
Slovenia,24.4,24.4,23.7,24.8,24.9,24.9,25.6,26.2,25.7,25.4,,25
Sweden,26.4,27.1,28.1,27.3,27.7,27.6,27.6,28.8,28.4,29.2,,27.82
