country,year,sex,age,suicides_no,population,suicides/100k pop,HDI for year,overall score,government integrity,labor freedom,financial freedom, gdp_for_year ($) ,gdp_per_capita ($),generation
Armenia,2006,female,15-24 years,0,290966,0,0.706,70.6,31,65.3,70,"6,384,451,606",2310,Millenials
Armenia,2006,female,25-34 years,2,215884,0.93,0.706,70.6,31,65.3,70,"6,384,451,606",2310,Generation X
Armenia,2006,female,35-54 years,5,450477,1.11,0.706,70.6,31,65.3,70,"6,384,451,606",2310,Boomers
Armenia,2006,female,5-14 years,0,203195,0,0.706,70.6,31,65.3,70,"6,384,451,606",2310,Millenials
Armenia,2006,female,55-74 years,8,238745,3.35,0.706,70.6,31,65.3,70,"6,384,451,606",2310,Silent
Armenia,2006,female,75+ years,2,78684,2.54,0.706,70.6,31,65.3,70,"6,384,451,606",2310,Silent
Armenia,2006,male,15-24 years,10,276127,3.62,0.706,70.6,31,65.3,70,"6,384,451,606",2310,Millenials
Armenia,2006,male,25-34 years,6,188382,3.19,0.706,70.6,31,65.3,70,"6,384,451,606",2310,Generation X
Armenia,2006,male,35-54 years,17,367346,4.63,0.706,70.6,31,65.3,70,"6,384,451,606",2310,Boomers
Armenia,2006,male,5-14 years,1,221941,0.45,0.706,70.6,31,65.3,70,"6,384,451,606",2310,Millenials
Armenia,2006,male,55-74 years,21,184526,11.38,0.706,70.6,31,65.3,70,"6,384,451,606",2310,Silent
Armenia,2006,male,75+ years,6,48123,12.47,0.706,70.6,31,65.3,70,"6,384,451,606",2310,Silent
Australia,2006,female,15-24 years,68,1388615,4.9,0.911,79.9,88,86.5,90,"745,521,862,833",39014,Millenials
Australia,2006,female,25-34 years,74,1444570,5.12,0.911,79.9,88,86.5,90,"745,521,862,833",39014,Generation X
Australia,2006,female,35-54 years,195,2934459,6.65,0.911,79.9,88,86.5,90,"745,521,862,833",39014,Boomers
Australia,2006,female,5-14 years,1,1332380,0.08,0.911,79.9,88,86.5,90,"745,521,862,833",39014,Millenials
Australia,2006,female,55-74 years,115,1798232,6.4,0.911,79.9,88,86.5,90,"745,521,862,833",39014,Silent
Australia,2006,female,75+ years,41,743060,5.52,0.911,79.9,88,86.5,90,"745,521,862,833",39014,Silent
